,total_with_es_month,total_without_es_month,demand_charge_with_es_month,demand_charge_without_es_month,energy_charge_with_es_month,energy_charge_without_es_month,total_with_es_daily,total_without_es_daily,demand_charge_with_es_daily,demand_charge_without_es_daily
0,28308.311912964753,30408.795995317698,19599.6599576504,21467.6599576504,8799.708220902592,8941.136037667296,28399.36817855299,30408.795995317698,19599.6599576504,21467.6599576504
1,33058.91232415454,35132.91905268395,25122.262239282798,26990.262239282798,8014.698312518802,8142.656813401154,34116.4139410676,35132.91905268395,26101.715628548798,26990.262239282798
2,37240.3145701341,39336.46263983997,27147.5372290428,29015.537229042802,10179.497594032468,10320.925410797172,37327.034823075264,39336.46263983997,27147.5372290428,29015.537229042802
3,36866.76536466003,38967.34170260122,26454.0621927324,28322.0621927324,10497.117035162939,10645.279509868822,37452.06642461214,38967.34170260122,26954.949389449197,28322.0621927324
4,40050.189467038545,42154.0870061562,27621.547675383597,29489.547675383597,12516.376856066718,12664.5393307726,41831.91571039192,42154.0870061562,29315.5388543252,29489.547675383597
5,51011.54084377177,53882.295055536495,37117.4405552904,39631.440555290406,14033.829021422558,14250.854500246092,53665.269576712955,53882.295055536495,39631.4405552904,39631.440555290406
6,53656.036388997934,56550.12827211559,39129.4983006654,41643.4983006654,14667.9019447443,14906.62997145018,53797.4002454097,56550.12827211558,39129.4983006654,41643.4983006654
7,52238.38129690339,55135.148836609274,37177.2295569078,39691.2295569078,15205.191252995584,15443.91927970147,54307.27055207359,55135.14883660927,39102.079299078,39691.2295569078
8,39413.73559964013,41503.14901140484,27320.137600517202,29188.137600517202,12180.318252064108,12315.011410887637,40955.01758725531,41503.149011404836,28774.6993351912,29188.137600517202
9,39397.670850132476,41499.90778866186,27935.3700104352,29803.370010435196,11548.37530352079,11696.537778226668,41080.62200889519,41499.90778866186,29532.2467053744,29803.370010435196
10,36236.80843192196,38310.815160451384,26247.491740634,28115.491740634003,10067.36491893502,10195.323419817372,36680.28652520422,38310.81516045138,26612.9216062692,28115.491740634003
11,28175.394633413875,30275.878715766812,19544.7078225688,21412.7078225688,8721.74307643332,8863.170893198027,28626.104655896925,30275.878715766827,19904.361579463603,21412.7078225688
